Date/Time, 2021-01-19_01:28
20,88.17
10,86.64
30,91.82
50,95.77
10,80.80
40,92.93
30,92.47
20,91.92
40,93.69
10,83.09
20,89.16
50,93.44
30,93.03
40,93.71
50,95.17
10,88.01
30,89.52
20,86.80
10,84.39
50,94.95
40,92.73
20,92.80
30,89.82
40,92.41
50,94.19
20,86.77
10,81.44
30,92.81
40,92.39
50,95.28
10,73.82
20,91.80
30,93.66
40,91.86
10,82.82
50,93.47
30,92.71
20,90.58
40,91.62
10,86.09
50,93.42
20,88.60
40,92.27
30,89.69
50,93.92
10,78.72
20,89.22
30,92.28
40,92.95
50,93.13
10,79.73
20,85.77
30,90.62
40,91.09
50,94.67
10,78.49
20,91.32
30,91.33
40,91.85
50,94.37
10,82.40
20,85.75
30,92.17
40,91.34
50,92.59
10,64.88
20,88.86
30,88.87
40,93.09
50,94.55
10,82.14
20,87.56
30,90.35
40,94.67
50,94.19
20,90.43
10,83.96
30,91.51
50,95.43
40,94.46
10,83.42
20,87.52
30,91.00
40,93.61
50,95.50
10,86.63
20,90.56
40,94.39
30,90.88
50,93.87
20,84.82
10,85.65
30,91.75
40,93.17
50,94.39
10,85.57
20,87.89
30,90.62
40,91.66
10,82.47
50,94.11
20,92.40
30,92.78
40,92.97
50,94.43
10,80.48
20,85.71
30,91.73
40,93.13
50,94.52
10,81.07
20,89.41
30,93.40
40,91.48
50,93.97
20,85.37
10,82.75
30,93.16
40,92.26
50,93.29
10,83.63
30,91.74
20,90.86
40,92.69
50,93.27
10,81.28
20,86.94
30,93.35
40,93.64
50,93.40
10,84.49
20,87.65
30,94.03
40,94.54
50,94.99
10,78.65
20,87.45
30,90.30
40,93.56
50,93.41
10,82.30
20,87.30
30,90.95
40,93.20
10,85.14
50,91.21
20,91.87
30,91.82
40,92.98
50,94.67
10,80.73
30,93.16
20,90.76
40,94.21
10,85.50
50,94.16
20,88.88
30,91.94
40,93.44
50,92.02
10,84.08
20,87.09
40,93.08
30,91.90
50,91.85
10,80.18
20,89.58
30,93.01
40,93.82
50,94.44
10,82.88
20,86.25
30,91.33
40,95.03
50,94.21
10,85.42
20,90.53
30,93.41
40,93.01
50,94.11
20,91.87
10,78.48
30,91.52
40,94.50
50,91.64
10,82.40
20,87.22
30,90.17
40,93.65
10,88.64
50,94.92
20,89.62
30,91.67
40,94.69
50,93.11
10,83.84
20,91.24
30,93.52
40,93.81
50,95.55
10,84.11
20,89.50
30,91.93
40,91.69
50,93.60
10,82.49
20,88.58
30,90.57
40,94.77
50,93.83
10,81.37
20,91.26
30,91.52
40,90.32
50,95.12
10,78.09
20,87.78
30,92.08
40,92.94
50,93.65
10,81.20
20,92.91
30,91.82
40,93.95
50,95.34
10,81.19
20,90.47
30,92.67
40,93.86
50,94.22
10,79.80
20,89.35
30,91.51
40,90.44
10,80.76
50,94.47
20,89.97
40,92.70
30,91.57
50,94.25
10,79.34
20,88.13
30,91.66
40,89.26
50,94.20
10,79.89
30,92.63
20,87.65
40,93.88
10,75.67
50,94.39
20,86.58
40,93.52
30,92.16
50,95.16
20,90.98
10,77.74
30,93.54
50,93.70
40,92.77
10,64.47
30,91.68
20,89.94
40,93.46
50,93.61
10,84.65
20,88.14
40,94.61
30,90.90
50,93.25
20,88.46
10,80.35
30,89.81
50,94.69
40,93.89
20,91.80
10,84.10
30,92.83
40,91.92
10,76.89
50,94.10
20,88.48
30,91.77
40,93.67
50,93.41
10,77.82
20,89.51
30,92.59
40,93.94
50,95.20
10,77.42
30,94.14
20,89.51
40,93.63
50,94.29
10,81.68
20,88.18
40,93.10
30,90.66
10,84.04
50,94.74
20,84.13
30,92.41
40,93.53
50,93.30
10,88.77
20,85.41
30,94.82
40,94.33
50,94.95
10,83.13
20,91.38
40,93.96
30,91.17
50,95.38
10,77.56
20,89.07
30,92.34
40,91.37
50,94.66
10,85.90
30,91.07
20,89.89
40,91.34
50,94.32
10,81.93
20,87.34
40,93.39
30,91.63
50,94.84
10,85.56
20,92.50
30,89.99
40,91.64
50,93.18
10,85.65
20,91.01
30,92.58
10,79.92
40,91.43
50,96.20
30,92.28
20,89.98
40,93.37
50,93.44
10,84.85
20,87.53
30,88.43
40,93.87
50,94.08
10,79.86
20,88.10
30,90.55
40,94.21
10,82.08
50,94.73
30,90.21
20,91.32
40,93.89
50,94.66
10,83.35
20,91.25
30,90.79
40,93.22
50,91.41
20,89.78
10,75.79
30,92.66
40,88.87
50,90.26
10,78.98
20,90.90
30,89.35
40,93.87
50,92.70
10,80.57
20,85.06
40,94.61
30,89.31
50,94.54
20,89.02
10,87.20
30,91.95
40,93.04
50,94.58
10,82.79
20,88.04
30,94.38
40,93.66
50,93.22
10,85.78
20,91.48
30,92.68
40,93.53
50,93.42
10,80.53
20,88.99
30,92.24
40,92.72
50,93.78
10,86.59
20,90.27
30,93.93
40,94.10
50,94.13
10,83.45
20,87.50
30,92.62
40,92.16
50,94.41
10,82.58
20,89.36
30,92.58
40,93.55
50,93.68
10,80.89
20,91.72
30,91.12
40,93.46
50,93.29
10,83.51
20,90.60
30,90.90
40,92.93
50,95.26
10,76.66
20,89.91
30,91.36
40,92.63
50,93.11
10,80.16
20,89.19
30,92.41
40,92.24
50,94.01
10,83.00
20,89.78
30,91.17
40,93.73
50,94.15
10,88.40
20,89.24
30,90.34
40,94.00
50,94.66
10,83.00
20,88.76
30,93.27
40,92.43
50,94.76
10,82.84
20,90.47
30,93.09
40,93.89
50,91.51
10,83.12
20,90.13
30,89.18
40,90.78
50,92.90
10,75.42
20,88.18
30,90.86
40,94.34
50,94.01
10,89.59
20,91.83
30,92.38
40,93.63
50,94.64
10,78.83
20,85.86
30,92.55
40,92.58
50,93.53
10,85.23
20,89.08
30,92.28
