Date/Time, 2021-01-19_08:35
10,77.84
20,75.40
30,81.44
40,78.67
50,83.43
10,71.59
20,80.84
30,81.33
40,76.62
50,80.31
20,72.94
10,72.73
30,79.99
40,68.67
50,73.01
10,80.33
20,77.33
30,78.19
40,74.24
50,78.37
10,83.76
20,79.80
40,78.84
30,79.64
50,80.04
10,72.35
20,72.55
30,79.16
40,83.19
50,75.69
10,71.15
20,79.71
30,81.11
40,74.25
50,67.98
10,81.01
30,79.66
20,88.08
40,71.63
10,78.94
50,80.81
20,72.60
40,74.39
30,71.47
50,79.84
10,74.70
20,80.54
30,79.96
40,79.54
50,78.18
10,81.59
20,66.41
30,67.55
40,73.16
50,75.77
10,80.10
20,78.66
30,73.75
40,78.32
50,73.26
10,76.31
20,75.97
30,80.52
40,77.33
50,78.55
10,62.62
30,76.98
20,78.35
40,79.63
50,79.17
10,89.25
20,68.09
40,71.91
30,76.46
50,77.08
20,79.81
10,75.14
30,73.97
40,79.52
50,78.19
10,84.50
20,69.00
30,77.47
40,80.14
10,77.08
50,80.79
20,79.67
40,74.23
30,78.34
50,72.40
10,81.07
20,72.97
30,82.40
50,73.75
40,81.03
10,82.41
20,81.26
30,72.24
40,85.69
50,81.46
10,81.50
20,74.55
30,74.95
40,78.17
50,79.17
10,71.34
20,81.47
30,80.10
40,77.81
50,77.02
10,74.87
20,76.58
30,73.80
40,76.31
50,69.32
10,73.70
20,71.31
30,66.80
40,78.78
50,74.65
10,74.20
20,74.66
30,79.08
40,79.93
50,79.17
10,73.34
20,77.65
30,81.22
40,72.88
50,80.51
10,79.09
20,84.84
30,72.68
40,79.55
50,76.08
10,68.99
20,71.48
30,76.52
40,80.11
50,80.66
10,72.31
20,76.24
30,77.34
40,79.94
50,72.17
10,76.60
20,74.67
30,71.38
40,77.74
50,82.03
10,74.19
20,79.20
30,79.93
40,68.91
50,80.76
10,84.85
20,79.11
30,78.82
40,78.30
50,71.65
10,73.24
20,75.75
30,72.31
40,73.41
50,78.86
10,69.18
20,56.90
30,80.73
40,77.89
50,76.97
10,69.08
20,77.49
30,80.54
40,79.62
50,74.58
10,76.78
20,79.06
30,74.08
40,80.68
50,69.45
10,82.54
20,73.73
30,81.06
40,81.52
50,72.91
10,75.82
20,81.94
30,78.85
40,78.25
50,71.34
10,82.20
20,78.47
30,82.49
40,80.53
50,75.83
10,85.34
20,79.19
30,80.12
40,76.34
50,80.81
10,81.38
20,77.99
30,69.30
40,72.78
50,71.78
10,72.50
20,77.44
30,78.46
40,82.11
50,81.49
10,78.63
20,77.46
30,75.23
40,71.79
50,74.36
10,77.72
20,80.46
30,78.86
40,76.03
50,79.19
10,77.56
20,80.74
30,71.78
40,70.01
50,81.30
10,75.32
20,74.68
30,81.38
40,66.55
50,80.77
10,88.08
20,74.08
30,75.35
40,79.43
50,82.14
10,71.05
20,78.94
30,85.63
40,76.71
50,74.20
10,71.45
20,73.75
30,79.68
40,79.44
50,70.30
10,69.25
20,76.53
30,80.45
40,81.15
50,75.13
10,78.71
20,79.07
30,77.44
40,78.94
50,79.70
10,80.19
20,72.15
30,77.64
40,73.91
50,75.63
10,72.82
20,73.20
30,78.76
40,81.75
50,79.80
10,81.33
20,72.32
30,67.76
40,80.90
50,79.80
10,74.80
20,80.47
30,78.57
40,77.63
50,73.60
10,71.50
20,79.04
30,79.82
40,80.44
50,74.59
10,73.16
20,80.64
30,79.95
40,81.23
50,72.22
10,70.47
20,77.66
30,78.18
40,74.92
50,80.65
10,77.03
20,75.80
30,72.03
40,79.19
50,78.01
10,79.31
20,67.01
30,80.34
40,78.63
50,79.51
20,67.90
10,75.94
30,72.69
50,78.58
40,79.95
10,80.54
20,76.24
30,73.46
40,72.08
50,79.73
10,73.07
20,77.82
30,77.50
40,79.63
50,79.76
20,74.59
10,73.42
30,75.60
40,78.28
50,79.35
10,82.20
30,83.31
20,73.93
40,80.10
50,80.04
10,75.66
20,72.66
30,76.49
40,78.10
50,76.20
10,75.59
20,77.97
30,78.35
50,73.61
40,80.98
10,76.00
20,79.78
30,82.23
40,73.82
50,75.26
10,71.61
20,70.90
30,72.48
40,78.16
50,78.79
10,76.25
20,79.90
30,82.53
40,83.60
50,83.43
10,73.62
20,73.02
30,74.69
50,78.00
40,73.70
10,72.90
20,81.13
30,78.14
40,66.90
50,78.40
10,73.93
20,82.28
40,78.87
50,76.09
30,78.25
30,78.84
10,62.18
20,80.69
10,72.13
50,73.99
40,72.70
20,80.39
30,68.57
40,74.58
10,74.74
50,73.09
20,75.95
30,70.74
40,75.23
50,73.71
10,76.82
20,74.37
30,79.37
40,73.86
50,78.22
10,74.59
30,76.93
20,75.98
40,79.65
10,77.17
50,76.56
20,63.92
30,74.54
40,76.10
50,78.56
20,75.74
10,79.35
30,78.77
50,79.79
40,78.63
10,81.54
20,84.61
30,76.02
40,79.17
50,77.35
10,79.29
20,70.59
30,74.86
40,73.60
50,80.93
10,74.38
20,72.24
30,79.13
40,79.47
50,76.94
10,73.65
20,80.43
30,79.81
40,78.33
50,79.34
10,74.27
20,76.07
30,70.04
40,80.23
50,66.65
10,83.16
20,77.33
30,73.44
40,79.50
50,79.58
10,77.28
20,73.49
30,83.31
40,75.11
50,79.65
10,75.86
20,79.09
30,79.45
40,76.70
50,71.84
10,75.16
20,72.35
30,76.40
40,76.81
50,79.59
10,73.45
20,85.04
30,76.41
40,77.97
10,79.74
50,79.01
20,81.05
30,76.48
40,79.41
50,77.81
10,80.00
20,86.98
30,83.42
40,71.72
50,79.75
10,69.03
30,79.22
20,71.64
40,80.45
10,80.40
50,77.18
20,79.56
30,75.95
40,79.96
50,71.29
10,77.69
20,76.86
30,76.24
40,69.99
50,79.87
10,84.41
20,74.36
30,78.84
50,80.70
40,77.56
10,78.39
20,72.57
30,75.72
40,80.21
50,78.73
10,67.56
20,67.98
30,74.89
40,79.55
50,74.00
10,69.83
20,78.72
30,81.60
40,69.81
50,79.39
10,80.91
20,74.13
30,76.36
40,79.36
50,77.33
