Date/Time, 2021-01-19_02:45
10,91.22
20,93.51
30,95.16
50,96.07
40,95.15
10,87.33
30,94.47
40,95.06
20,94.04
50,94.92
10,89.83
20,91.69
50,95.61
30,94.73
40,95.08
10,93.09
20,91.61
30,91.93
40,94.64
50,96.01
10,91.27
30,93.01
20,95.25
40,92.36
50,95.73
10,88.62
20,92.37
30,94.48
40,95.22
50,96.35
20,94.74
10,79.61
30,95.35
40,94.64
50,95.27
10,90.16
30,94.28
20,94.55
40,93.12
50,95.17
10,90.80
20,90.98
30,93.77
40,94.25
50,95.34
10,84.96
20,93.31
30,95.04
50,93.96
40,94.82
10,84.71
20,92.60
30,93.59
40,93.87
50,95.31
10,85.25
20,94.44
30,93.75
40,93.95
50,95.08
10,90.37
20,90.65
30,93.83
40,93.77
50,93.75
10,73.32
20,93.87
30,90.23
40,94.33
50,94.90
10,91.90
20,92.27
30,92.85
40,95.78
50,95.65
10,91.49
20,94.14
30,93.86
40,95.80
50,95.94
10,89.89
20,91.97
30,93.19
40,95.40
50,96.10
10,92.57
20,94.55
30,93.56
40,95.27
50,95.21
10,91.07
20,88.82
30,95.09
50,95.62
40,94.97
10,92.34
20,90.60
30,93.30
40,94.61
50,95.02
10,88.68
20,94.23
30,94.86
40,94.60
50,94.86
10,86.80
20,92.50
30,94.53
40,95.32
50,95.54
10,88.69
20,89.89
30,94.96
40,93.03
50,95.07
10,91.07
20,87.97
30,95.11
40,93.59
50,94.49
10,89.71
20,92.91
30,95.06
40,94.40
50,93.87
10,86.86
20,91.17
30,94.98
40,95.62
50,95.12
10,91.38
20,92.09
30,95.99
40,95.66
50,95.65
10,82.80
20,90.12
30,93.89
40,94.97
50,95.24
10,87.73
20,91.56
30,94.96
40,94.10
50,92.43
10,89.96
20,94.12
30,92.81
40,94.03
50,95.58
10,87.63
20,94.44
40,95.07
30,94.56
50,95.70
20,93.01
10,92.43
30,94.06
40,94.80
50,92.14
10,91.48
20,91.28
30,94.75
40,94.60
50,93.24
10,83.79
20,92.78
40,95.05
30,95.24
50,95.43
10,91.43
20,91.70
30,93.90
40,95.57
50,95.33
10,91.00
20,93.28
30,95.52
40,94.30
50,95.22
10,85.89
20,94.83
30,93.23
40,96.00
50,94.57
10,88.98
20,92.55
30,93.54
40,95.25
50,95.74
10,93.12
20,91.09
30,94.65
40,95.93
50,93.39
10,91.17
20,94.95
30,95.35
40,95.42
50,96.19
10,90.42
20,92.02
30,94.86
40,91.97
50,94.78
10,85.61
20,92.38
30,93.73
40,96.08
50,95.12
10,85.93
20,94.33
30,93.26
40,91.83
50,96.04
10,83.78
20,90.76
30,94.33
40,94.60
50,94.89
10,89.38
20,95.01
30,93.77
40,95.51
50,96.10
10,84.92
20,93.96
30,95.36
40,95.23
50,94.73
10,87.76
20,92.16
30,92.70
40,89.71
50,95.33
10,87.41
20,93.89
30,95.06
40,94.63
50,95.27
10,89.02
20,92.13
30,91.30
40,91.24
50,95.38
10,90.19
20,93.23
30,95.54
40,94.99
50,95.13
10,82.64
20,89.78
30,92.68
40,94.90
50,95.71
10,88.41
20,94.51
30,96.02
40,95.18
50,95.35
10,72.04
20,93.42
30,94.71
40,94.77
50,95.03
10,89.85
20,91.39
30,92.83
40,95.54
50,94.64
10,84.57
20,93.47
30,93.51
40,94.30
50,95.91
10,89.47
20,94.12
30,95.33
40,94.44
50,94.35
10,83.95
20,93.59
30,94.47
40,95.71
50,93.09
10,86.24
20,92.86
30,95.00
40,95.40
50,95.92
10,84.93
20,94.08
30,95.61
40,94.19
50,95.29
10,86.41
20,90.68
30,93.11
40,94.69
50,95.62
10,90.18
20,89.39
30,94.58
40,95.08
50,93.79
20,89.73
10,92.99
30,95.75
40,95.52
50,95.96
10,88.00
20,94.45
30,95.64
40,95.02
50,95.07
10,83.22
20,93.29
40,92.22
30,95.47
50,95.42
10,92.33
20,91.79
30,93.88
40,92.30
50,95.42
10,89.91
20,90.61
30,94.19
40,93.98
50,95.71
10,92.30
20,95.41
40,94.16
30,93.14
50,94.47
20,93.87
10,90.24
30,95.25
40,94.41
50,96.73
30,93.79
10,90.36
20,93.94
40,94.87
50,95.23
10,92.10
30,89.79
40,95.16
20,90.13
50,95.89
10,85.93
20,91.97
30,93.22
40,95.32
50,95.44
10,90.65
20,95.25
30,92.95
40,95.12
50,95.37
10,87.92
20,94.51
30,93.28
40,93.07
50,93.45
10,80.49
20,93.00
40,91.21
30,94.02
50,90.92
20,94.63
10,85.95
30,91.81
50,94.19
40,95.19
10,87.24
30,92.85
20,87.97
40,95.98
50,95.78
10,93.49
20,92.49
30,92.75
40,94.47
50,95.17
20,93.74
10,86.56
30,95.68
40,95.21
50,93.84
10,90.99
30,95.21
20,94.48
40,94.95
10,89.43
50,95.08
20,92.90
30,94.16
40,94.50
50,95.33
10,93.94
20,94.57
30,95.28
40,95.20
50,95.74
10,89.48
20,90.50
30,93.58
40,94.77
50,95.99
10,89.87
20,93.05
30,94.90
40,95.14
50,95.02
10,89.10
20,94.86
30,93.22
50,94.62
40,95.27
10,89.39
20,94.08
30,92.73
40,93.45
50,95.88
10,83.18
20,93.18
30,94.69
40,94.11
50,94.35
10,86.43
20,93.48
30,94.71
40,94.46
50,95.23
10,92.25
20,94.62
30,93.58
40,95.32
50,95.45
10,93.86
20,91.63
30,92.77
40,95.37
50,95.95
10,91.49
20,93.82
30,95.74
40,94.00
50,95.85
10,88.70
20,94.16
30,95.62
40,94.84
50,92.60
10,91.04
20,94.55
30,89.46
40,93.57
50,93.79
10,80.61
20,92.34
40,95.40
30,93.86
50,95.00
10,92.95
20,94.49
30,94.30
40,95.61
50,95.76
10,86.05
20,93.29
30,95.12
40,94.19
50,93.55
10,91.04
20,92.90
30,95.15
40,93.89
50,94.76
10,88.05
20,93.31
30,94.07
40,95.71
50,93.72
10,85.96
20,90.30
30,93.86
40,94.52
50,94.53
10,81.46
20,94.25
30,95.21
40,95.22
50,95.40
20,90.55
10,88.62
30,90.86
40,94.92
50,95.74
