Date/Time, 2021-01-21_23:41
20,84.49
30,86.24
10,73.68
40,90.79
10,69.93
50,93.02
20,83.82
40,87.96
30,87.42
50,88.90
10,71.95
20,80.09
30,90.11
40,87.80
50,89.33
10,76.08
20,78.32
30,90.01
50,90.25
40,88.83
10,78.89
30,84.49
20,86.82
40,84.38
10,73.04
50,93.00
20,80.86
30,86.73
40,89.41
50,90.57
10,61.71
20,84.78
30,88.24
40,85.87
50,87.51
10,67.30
20,82.55
30,83.85
40,85.40
50,89.71
10,74.67
20,82.00
30,82.74
40,89.67
50,86.36
10,71.18
30,87.94
20,81.19
40,89.53
50,91.39
10,69.88
20,78.43
30,84.35
40,88.38
50,88.26
10,70.30
20,82.70
30,85.98
40,87.09
50,91.87
10,72.25
20,83.24
30,85.01
40,85.74
50,86.09
10,63.55
20,77.97
40,86.11
30,84.16
50,91.62
10,73.30
20,84.17
30,83.95
50,87.67
40,87.23
10,77.04
20,81.77
30,84.54
40,85.28
10,76.46
50,90.32
30,85.39
20,79.07
40,88.04
50,91.18
10,84.61
20,78.37
50,88.39
30,82.89
40,87.79
20,77.62
10,74.99
30,81.08
50,88.73
40,88.63
10,80.11
20,80.63
30,84.24
40,87.76
50,89.57
10,73.65
20,84.30
30,84.31
40,87.96
50,88.67
10,69.44
20,79.30
30,81.99
40,89.17
50,88.93
10,74.07
20,77.06
30,83.85
40,88.84
10,72.57
50,85.07
20,80.95
30,87.54
40,86.68
50,86.45
10,75.32
20,79.76
30,88.19
40,86.99
50,89.67
10,69.68
20,80.63
30,86.11
40,89.63
50,86.93
10,72.91
20,82.37
30,85.04
40,88.30
50,93.40
10,76.01
20,78.46
30,84.20
50,89.18
40,90.74
10,70.86
20,77.56
30,85.71
40,86.11
50,87.18
10,73.34
20,81.21
30,85.90
40,86.55
50,91.09
20,86.83
10,75.42
30,84.20
40,87.05
50,88.25
10,68.74
20,82.38
30,84.63
40,85.15
50,86.54
10,75.25
20,83.20
30,84.96
40,87.98
50,88.05
10,70.10
20,81.33
30,86.76
40,86.33
50,88.78
10,69.84
20,79.74
30,85.34
40,89.44
50,89.14
10,80.29
20,82.44
40,86.69
30,84.18
50,90.03
10,74.82
20,84.84
30,83.29
40,87.52
50,86.00
10,73.54
20,82.18
30,82.16
40,87.14
10,78.01
50,91.36
20,84.72
40,89.35
30,91.95
50,91.03
20,79.75
10,79.93
30,79.70
50,90.66
40,90.28
10,70.80
30,79.94
20,77.39
40,83.74
50,87.59
10,78.28
20,80.50
30,79.98
40,88.60
50,88.78
20,79.08
10,79.35
30,81.53
40,80.10
50,85.88
10,66.61
20,77.87
30,87.50
40,85.54
50,91.30
10,73.41
20,83.61
30,81.11
40,88.14
50,92.36
20,85.12
10,76.58
30,86.14
50,88.23
40,91.72
10,67.83
20,77.09
30,88.13
40,85.64
50,90.12
10,70.99
20,79.19
30,82.97
40,90.11
50,88.41
10,61.49
20,82.31
30,88.79
40,79.97
50,89.91
10,78.49
20,77.29
30,82.65
40,87.06
50,89.60
10,67.45
20,76.01
30,86.10
40,87.25
50,87.70
10,69.59
20,83.22
30,85.90
40,88.16
50,90.31
10,52.49
20,85.34
30,88.15
40,91.24
10,73.17
50,87.86
20,85.10
30,85.07
40,84.67
50,90.91
10,64.96
20,85.42
30,81.99
40,88.39
50,90.38
10,77.03
20,85.82
30,86.14
40,85.62
50,87.75
10,65.52
20,81.68
30,87.43
40,85.84
50,89.80
10,72.53
20,79.04
30,83.53
40,89.16
50,89.26
10,66.43
20,82.59
30,83.80
40,85.22
50,91.59
10,72.19
20,82.53
30,74.85
40,87.34
50,90.10
10,72.47
20,76.89
30,87.74
50,90.39
40,84.22
10,75.30
30,89.45
20,80.49
40,89.56
10,75.98
50,89.14
20,80.50
30,83.57
40,87.99
50,91.52
20,76.84
10,67.79
30,83.63
50,91.37
40,87.32
10,73.57
20,82.82
30,84.27
40,87.15
10,73.93
50,87.92
20,81.34
30,85.46
40,90.51
50,89.66
20,82.92
10,80.22
30,83.72
50,91.03
40,84.61
10,76.89
20,84.17
30,83.62
40,84.57
50,90.74
