Date/Time, 2021-01-22_04:26
10,56.98
20,49.15
30,52.84
40,56.77
10,55.27
50,54.41
20,58.24
40,56.44
30,51.45
50,49.33
20,56.51
10,58.24
30,57.11
40,57.68
50,52.93
10,49.96
30,56.87
20,57.19
40,57.37
10,58.19
50,52.72
20,55.20
30,53.95
40,52.78
50,54.38
10,52.39
20,48.13
30,57.65
40,56.79
50,56.46
10,58.05
20,49.01
30,57.69
50,56.26
40,57.19
10,52.26
20,58.01
30,55.60
40,49.84
10,49.30
20,55.19
50,56.41
30,57.41
40,55.81
50,58.20
30,50.93
20,55.98
10,50.68
50,57.54
10,58.13
40,54.45
20,47.72
40,53.56
30,53.28
50,55.27
20,54.88
10,50.36
40,50.20
30,57.21
50,57.62
10,57.22
30,56.08
20,57.98
40,57.52
50,56.42
10,38.36
30,51.12
40,48.54
20,48.50
10,49.23
50,57.11
20,52.72
40,57.83
30,57.38
50,56.88
10,44.97
20,58.01
30,49.82
10,51.95
40,56.63
50,55.04
30,52.48
40,52.42
20,58.06
50,55.40
10,49.80
20,48.40
50,53.80
40,55.83
30,58.04
20,53.93
10,58.37
30,57.18
40,57.72
50,57.44
10,58.43
20,58.14
30,51.60
40,55.25
50,57.26
20,52.70
10,51.49
30,58.28
40,52.17
50,57.19
20,49.12
30,57.57
10,57.15
40,57.51
10,49.77
50,55.17
20,48.46
40,55.44
30,57.73
50,57.09
20,57.19
10,58.36
40,57.26
50,56.02
30,56.98
10,48.96
20,50.25
30,54.96
40,56.96
50,51.29
10,53.61
20,56.33
30,56.09
40,54.22
50,52.60
10,51.37
20,49.46
40,55.37
30,54.19
50,56.61
10,57.61
20,51.86
30,53.12
40,48.69
50,49.85
10,50.69
20,57.91
30,48.99
40,56.07
50,57.04
20,60.02
10,57.87
40,53.32
30,49.53
50,56.30
30,57.04
10,58.04
20,55.28
40,55.62
50,58.08
10,50.75
20,57.24
30,56.33
40,54.56
10,57.93
20,48.34
50,57.69
30,48.29
40,54.54
50,57.33
10,57.12
20,48.41
30,51.42
10,43.40
40,57.81
50,57.98
20,57.21
40,57.06
30,57.83
10,55.89
20,58.09
50,51.33
30,54.50
40,57.13
50,53.85
30,50.81
10,57.36
20,56.78
10,54.41
40,57.29
50,54.68
40,47.15
20,50.05
30,56.03
50,56.90
10,54.83
20,55.35
30,57.20
50,57.52
40,56.52
10,58.02
30,53.69
20,57.45
40,55.63
50,54.59
10,57.89
30,58.22
20,41.53
40,55.72
10,50.44
50,53.05
20,55.73
30,57.81
40,56.31
50,56.10
