Date/Time, 2021-01-22_01:51
20,94.71
30,95.19
10,91.99
40,94.98
50,95.63
10,90.29
20,92.50
30,93.88
40,94.87
50,94.09
20,92.76
10,92.43
40,92.78
50,91.91
30,95.18
10,95.39
30,88.69
20,89.22
40,95.09
10,93.70
50,95.28
30,91.17
20,95.11
40,87.22
50,94.56
10,91.37
20,91.15
30,93.54
40,95.45
50,94.74
10,84.37
20,95.21
30,95.70
40,94.57
50,93.40
10,91.88
30,94.22
20,95.79
40,88.10
10,91.74
50,93.50
20,87.75
30,90.06
40,88.41
50,95.46
20,94.54
10,86.53
30,95.44
40,90.85
50,89.20
10,86.53
30,95.25
20,90.04
40,93.67
50,93.88
10,86.09
20,94.46
30,93.42
40,93.51
50,93.04
10,90.96
20,87.16
30,92.87
50,90.57
40,91.83
10,81.43
20,94.74
30,86.31
40,89.33
50,91.32
10,95.96
20,95.49
30,93.25
40,95.32
50,95.19
10,95.45
20,95.47
30,93.38
40,94.50
50,93.27
10,93.15
20,88.92
30,87.59
40,94.98
50,94.62
10,94.98
20,95.12
30,93.36
40,91.33
50,94.71
10,92.74
20,87.47
30,95.72
40,95.52
50,95.07
10,95.57
20,91.29
30,93.71
40,95.88
50,93.46
10,89.68
20,92.55
30,94.03
40,88.75
50,86.86
10,83.81
20,94.56
30,95.26
40,94.74
50,93.82
10,88.79
20,86.56
30,92.31
40,88.60
50,94.54
10,93.36
20,79.75
30,94.67
40,90.71
50,94.20
10,91.93
20,91.71
30,95.35
40,92.20
50,91.12
10,89.82
20,92.35
30,92.90
40,94.69
50,95.17
10,91.30
20,94.50
30,95.61
40,89.40
50,92.64
10,83.09
20,83.11
30,94.59
40,94.81
50,93.98
10,87.42
20,92.08
30,95.27
40,91.38
50,87.00
10,91.34
20,92.28
30,85.98
40,88.59
50,95.31
10,89.09
20,95.81
30,94.66
40,91.74
50,93.46
10,93.98
20,93.39
30,93.41
40,94.05
50,85.88
10,92.72
20,88.34
30,94.70
40,92.92
50,91.08
10,84.15
20,86.79
30,95.42
40,91.15
50,94.86
10,94.35
20,94.87
30,93.94
40,92.67
50,93.38
10,93.53
20,90.54
30,94.25
40,92.26
50,92.65
10,87.53
20,92.15
30,92.21
40,96.00
50,94.22
10,88.95
20,94.11
30,94.80
40,94.84
50,92.55
10,94.59
20,86.55
30,95.54
40,93.67
50,88.20
10,94.89
20,95.40
30,92.42
40,95.46
50,95.46
10,91.29
20,90.84
30,94.41
50,92.63
40,86.88
10,78.94
20,93.56
30,94.74
40,96.04
50,95.14
10,85.54
20,94.35
30,85.10
40,89.06
50,94.14
10,88.30
20,90.03
30,95.33
40,91.88
50,92.05
10,91.97
30,93.88
20,94.21
40,95.37
50,95.36
10,85.90
20,94.36
30,95.27
40,94.26
50,91.69
10,92.41
20,91.65
30,86.64
40,85.91
50,94.64
10,89.19
20,94.51
30,95.99
40,94.12
50,93.84
10,89.92
20,93.22
30,86.62
40,90.59
50,95.59
10,93.76
20,94.11
30,93.80
40,93.28
50,93.60
10,85.57
20,90.40
30,86.51
40,92.64
50,92.11
10,90.90
20,94.39
30,95.76
40,95.29
50,95.00
10,75.41
20,94.99
30,94.66
40,95.02
50,95.51
10,92.95
30,94.50
20,89.02
40,94.22
10,84.24
50,93.24
20,94.42
30,93.82
40,90.29
50,94.93
10,87.42
20,93.65
30,94.89
50,89.34
40,95.47
10,85.88
20,93.23
30,92.49
40,95.46
50,87.35
10,88.18
20,88.65
30,95.24
40,94.95
50,95.13
10,86.06
20,95.43
30,94.72
40,92.27
50,93.33
10,86.44
20,88.82
30,92.49
40,94.23
50,95.43
10,93.89
20,93.10
30,87.47
40,94.82
50,92.11
20,91.44
10,91.84
30,93.51
40,94.90
50,95.46
10,90.08
20,94.94
30,95.47
40,94.79
50,89.89
10,84.35
20,94.03
30,95.32
40,89.85
50,94.85
10,93.98
20,91.02
30,94.88
40,90.30
50,94.43
10,91.74
20,90.12
30,93.94
40,90.70
50,94.84
10,95.32
20,95.51
30,90.77
40,94.93
50,94.44
10,86.64
20,92.54
30,95.71
40,92.90
50,95.71
10,94.09
20,94.51
30,92.31
40,90.99
10,92.37
50,95.48
20,85.26
40,94.82
30,86.74
50,95.80
20,86.62
10,88.57
30,92.55
50,94.88
40,95.27
10,93.34
30,93.95
20,94.95
40,93.87
50,90.04
10,86.19
20,94.38
30,92.75
40,88.42
50,94.36
10,80.70
20,92.38
30,92.25
40,88.90
50,87.81
10,88.81
20,95.27
30,92.49
40,94.43
50,94.99
10,90.50
20,83.97
30,94.20
40,95.60
50,92.99
10,95.38
20,93.08
30,86.88
40,91.29
50,91.29
10,86.68
20,95.60
30,94.50
40,92.40
50,89.34
10,88.71
20,95.72
30,92.10
40,95.33
50,95.04
10,94.50
20,91.29
30,92.07
40,95.24
50,95.54
10,94.40
20,95.41
30,94.19
40,94.94
50,95.53
10,91.83
20,94.30
30,85.08
40,95.74
50,95.80
10,91.44
20,92.81
30,94.26
40,92.55
50,94.16
10,89.86
20,93.96
30,91.98
40,95.03
50,95.20
10,88.69
20,93.96
30,89.44
40,86.33
50,91.61
10,85.95
20,94.41
30,93.58
40,94.75
50,92.03
10,86.62
20,94.91
30,91.91
40,93.53
50,93.70
10,93.82
20,94.13
30,92.87
40,95.03
50,93.49
10,94.61
20,91.15
30,93.56
40,95.44
50,95.76
20,95.74
10,95.28
30,94.86
40,91.34
50,94.90
10,90.66
20,94.51
30,94.66
40,87.41
50,91.70
10,92.97
20,95.44
30,86.08
40,90.53
50,89.79
20,93.41
10,80.31
30,94.79
40,95.43
50,92.57
10,92.45
20,95.22
30,92.66
40,94.51
50,95.52
10,85.40
20,93.46
30,94.72
40,92.51
50,91.01
10,95.03
20,94.76
30,95.05
40,94.12
50,94.80
10,90.87
20,91.43
30,87.68
40,94.14
50,91.06
10,83.83
20,86.12
30,92.88
40,94.62
50,92.14
10,85.79
20,94.08
30,95.05
40,95.29
50,92.27
10,92.03
20,87.02
30,88.47
40,95.06
50,89.76
