Date/Time, 2021-01-28_02:20
20,27.65
10,28.83
30,30.58
40,24.89
50,24.74
10,24.50
20,26.11
40,25.24
30,25.67
50,24.87
10,22.17
20,24.09
30,24.95
40,24.16
50,27.19
10,21.57
20,24.80
30,25.28
40,24.81
50,31.15
10,26.83
20,29.02
30,27.59
40,22.26
50,25.21
10,19.28
20,22.00
30,24.12
40,22.56
50,34.43
10,31.24
20,26.39
30,24.18
40,24.00
50,26.68
10,27.27
20,28.30
30,24.44
40,26.15
10,23.96
50,25.21
20,20.66
30,25.65
40,25.06
50,26.87
20,26.07
10,27.16
30,29.97
40,30.08
50,25.78
10,23.69
30,23.59
20,24.16
40,25.51
50,25.06
10,17.12
20,26.85
40,25.48
30,27.19
50,23.40
10,24.08
20,25.75
30,27.91
50,25.18
40,24.38
10,21.87
20,26.69
30,22.68
40,26.40
50,24.98
10,23.97
20,26.87
30,24.92
40,28.13
50,24.21
10,26.94
20,25.10
30,23.60
40,25.27
50,31.78
10,25.73
20,30.60
30,32.30
40,21.05
50,24.41
10,26.94
20,26.25
30,24.20
40,25.86
50,28.06
10,24.06
20,24.08
30,29.04
40,30.04
50,26.24
10,25.90
20,22.28
30,25.62
40,22.83
50,25.71
10,20.09
20,17.14
30,24.35
40,28.83
50,24.63
10,22.88
20,19.97
30,25.22
40,31.24
50,27.16
10,26.26
20,25.35
30,25.43
40,25.76
50,23.39
10,22.82
20,24.35
30,25.88
40,26.28
50,25.36
10,22.00
20,17.06
30,24.93
40,25.29
50,33.66
10,23.60
20,19.44
30,24.42
40,24.21
50,24.70
10,21.44
20,20.51
30,16.60
40,24.99
50,24.85
10,23.56
20,25.34
30,23.97
40,26.59
50,29.95
10,24.19
20,15.22
30,23.76
40,26.88
50,24.27
10,22.14
20,23.37
30,25.04
40,24.58
50,33.01
10,27.96
20,24.27
30,23.00
40,23.09
50,26.93
10,19.80
20,27.25
30,23.93
40,30.31
50,25.60
10,27.51
20,24.04
30,24.92
40,24.14
50,25.66
10,20.15
20,21.18
30,30.28
40,27.07
50,22.31
10,22.60
20,24.88
30,22.71
40,30.59
50,24.43
10,22.02
20,32.63
30,26.51
40,25.73
50,25.91
10,27.45
20,26.58
30,25.97
40,37.69
50,28.11
10,23.56
20,29.70
30,24.80
40,32.20
50,28.76
10,27.82
20,22.30
30,25.08
40,26.25
50,24.92
10,24.22
20,26.88
30,26.02
40,22.68
50,22.10
10,26.31
20,22.95
30,17.33
40,32.56
50,26.50
10,25.72
20,24.55
30,22.76
40,28.02
50,23.70
10,18.83
20,27.86
30,25.09
40,26.47
50,24.72
10,18.88
20,26.05
30,24.39
40,29.98
50,26.06
10,22.20
20,29.90
30,24.86
40,27.76
50,25.10
10,22.22
20,26.59
30,22.66
40,27.08
50,24.86
10,28.93
20,29.10
30,24.55
40,26.28
50,26.08
10,25.07
20,24.62
30,21.42
40,24.02
50,27.16
10,25.34
20,23.47
30,23.82
40,34.10
50,25.72
10,26.11
20,24.98
30,24.20
40,21.83
50,24.25
10,27.45
20,23.90
30,24.71
40,25.28
50,26.84
10,26.59
20,14.30
30,26.99
40,24.50
50,24.58
10,15.83
20,30.75
30,26.56
40,25.46
50,29.79
10,17.04
20,26.06
30,26.98
40,24.58
50,24.10
10,25.12
20,29.35
30,25.16
40,25.47
50,26.48
10,23.74
20,23.45
30,27.90
40,26.57
50,29.71
10,19.60
20,25.35
30,26.12
40,25.68
50,25.74
10,16.76
20,24.95
30,25.40
40,30.05
50,28.61
10,28.01
20,24.79
30,24.91
40,27.77
50,23.68
