Date/Time, 2021-01-27_17:30
20,46.55
10,39.93
30,53.44
40,53.48
50,52.38
10,48.33
20,45.68
30,55.76
40,52.43
50,50.41
20,47.31
10,30.32
30,55.15
40,48.50
50,56.77
20,46.88
10,43.04
30,52.76
40,51.48
50,52.22
10,45.01
30,53.65
40,51.61
20,52.01
50,55.28
20,36.82
10,34.04
30,49.82
40,52.88
50,50.57
10,45.14
30,49.09
20,55.29
40,56.06
50,55.82
10,40.63
20,43.90
40,53.32
30,50.03
50,54.37
10,28.39
20,40.68
30,48.34
40,56.99
50,57.26
20,47.99
10,44.48
30,50.66
50,48.87
40,56.63
10,30.89
20,49.66
30,45.90
40,51.81
50,58.74
10,38.83
20,49.96
30,50.60
40,47.32
50,49.83
10,42.00
20,53.72
30,48.88
40,48.85
10,39.08
50,52.39
30,53.01
20,43.03
40,51.79
10,45.43
50,46.88
20,51.00
30,46.44
40,49.72
50,48.34
10,36.81
20,48.44
30,51.62
40,51.87
50,47.00
10,38.22
20,48.44
30,44.81
40,52.50
50,58.83
10,41.50
20,48.62
30,49.49
40,46.05
50,50.30
10,37.67
20,34.57
30,50.81
40,49.31
50,52.49
10,48.57
20,44.21
30,45.93
40,54.75
10,39.17
50,47.55
20,45.28
40,57.43
30,52.62
50,47.82
10,43.81
20,39.49
30,44.82
40,55.17
50,54.20
10,45.59
30,47.76
20,50.45
40,53.14
50,54.36
10,33.20
20,44.89
30,47.16
40,55.86
50,56.70
10,34.62
20,33.45
30,51.21
40,51.91
50,49.10
10,37.77
20,43.88
30,50.99
40,49.93
50,52.18
10,37.86
20,46.76
30,45.15
40,44.78
50,52.08
10,33.89
20,51.46
30,43.94
40,54.42
50,54.12
10,31.91
20,44.73
30,47.99
40,56.87
50,56.21
10,31.21
20,43.44
30,49.66
40,50.71
50,55.77
10,37.57
20,47.78
30,43.75
40,52.00
50,51.60
10,43.33
20,51.98
30,46.54
40,50.73
50,57.39
10,43.07
20,37.27
30,49.01
40,48.75
50,54.74
10,36.36
20,43.26
