Date/Time, 2021-01-27_23:02
10,34.41
20,30.28
30,37.32
40,28.64
50,31.60
10,28.99
20,30.11
30,35.57
40,29.55
50,35.75
10,24.38
20,26.97
30,30.17
40,30.24
50,31.18
10,30.72
20,35.23
30,35.36
50,37.38
40,29.78
10,36.96
30,35.92
20,37.93
40,27.82
10,21.07
50,30.58
20,23.57
30,28.81
40,29.47
50,41.44
10,37.27
20,38.12
30,28.88
40,32.59
50,36.10
10,30.16
20,33.72
30,30.78
40,32.54
50,36.62
10,27.95
20,31.17
30,32.00
40,33.86
50,33.25
10,32.08
20,34.98
30,35.63
40,34.41
50,33.58
10,28.08
20,35.10
30,28.65
40,28.92
50,33.24
10,25.19
20,33.87
30,32.41
40,28.60
50,36.10
10,28.89
20,31.70
30,33.47
40,33.77
50,29.23
10,28.94
20,30.79
30,29.00
40,34.00
50,31.22
10,28.28
20,34.25
30,30.62
40,34.57
50,28.89
20,33.41
10,31.54
30,34.22
40,30.30
50,35.72
10,29.73
20,38.56
30,38.23
40,28.64
50,39.52
10,31.23
20,31.64
30,35.18
40,29.16
50,30.74
10,25.86
20,29.98
30,34.88
50,35.31
40,34.91
10,31.46
20,27.92
30,34.95
40,31.52
10,28.65
50,29.68
20,25.29
30,33.93
40,34.89
50,28.66
20,23.33
10,32.08
30,29.74
50,34.70
40,42.64
10,35.52
20,34.97
30,29.88
40,30.61
50,32.99
10,27.12
20,27.74
30,32.86
40,33.33
50,31.54
20,19.95
10,28.05
30,36.14
40,31.17
50,38.75
10,27.75
30,28.99
20,27.58
40,29.90
50,27.47
10,25.95
20,25.56
30,24.94
40,29.45
50,30.32
20,31.77
10,28.01
30,29.90
40,30.00
50,33.72
10,27.26
20,20.70
30,27.67
40,33.34
10,23.69
50,31.90
20,29.11
30,28.99
40,27.63
50,43.72
10,31.29
20,27.15
30,25.15
40,33.21
50,30.97
10,27.22
20,34.51
30,31.33
40,35.53
50,32.16
10,33.92
20,28.24
30,30.16
40,30.18
10,24.30
50,37.64
20,29.51
30,39.14
40,34.52
50,29.95
10,27.85
20,33.75
30,31.58
40,36.65
50,35.65
10,30.31
20,40.40
30,36.60
40,30.08
50,34.14
10,32.18
20,32.69
30,34.27
40,44.96
50,34.45
10,36.03
20,35.92
30,30.11
40,39.79
50,35.26
10,35.46
20,27.97
30,32.02
40,31.45
50,31.49
10,30.97
20,32.93
30,32.36
40,29.78
50,33.20
10,28.32
20,27.61
30,19.78
50,41.97
40,37.34
10,28.03
20,29.45
30,31.04
40,35.22
50,26.64
10,21.94
20,36.17
30,31.30
40,39.62
50,35.39
10,22.02
20,34.63
30,30.48
40,39.77
50,32.01
10,28.85
20,32.11
30,34.43
40,41.40
50,32.38
10,26.38
20,33.74
30,34.21
40,35.16
50,36.43
10,37.27
20,31.60
30,34.92
40,35.80
50,34.80
10,28.30
20,31.53
30,25.99
40,29.92
50,33.04
10,30.73
20,29.59
30,25.96
40,42.42
50,31.50
10,36.96
20,27.07
30,27.04
50,33.27
40,28.47
10,31.66
20,33.28
30,36.95
40,34.55
50,38.06
10,32.23
20,16.70
40,34.71
30,33.67
50,32.81
10,21.78
20,39.79
30,31.39
40,32.43
50,38.75
10,21.57
20,30.20
30,35.03
40,29.84
50,28.03
10,34.65
20,31.93
30,31.37
40,33.11
10,29.44
50,34.47
20,29.54
30,30.88
40,33.32
50,36.15
10,32.08
20,30.69
30,33.07
40,35.76
50,38.40
10,24.53
20,34.58
30,34.05
40,35.74
50,37.35
10,35.12
20,29.73
30,28.69
40,35.65
50,34.19
10,39.81
20,28.21
30,37.78
40,32.21
50,37.80
10,32.77
20,37.75
30,24.27
40,36.97
50,37.42
10,27.96
20,30.89
30,31.95
40,31.60
50,38.94
10,23.63
20,33.75
30,29.17
40,39.83
50,37.72
10,30.11
20,32.52
30,40.74
40,37.08
50,40.88
10,30.97
20,27.88
30,30.67
40,32.81
50,32.88
10,30.63
20,38.94
30,27.45
40,36.83
50,34.89
10,30.79
20,32.72
30,34.92
40,40.61
50,29.29
10,33.04
20,29.52
30,35.37
40,25.46
50,33.81
10,29.18
20,31.45
30,24.90
40,27.27
50,37.43
10,28.27
20,31.80
30,32.40
40,33.60
50,29.05
10,34.72
20,32.57
30,34.85
50,33.07
40,45.41
10,34.45
30,30.54
20,37.74
40,37.26
50,31.99
10,24.73
20,29.86
30,39.87
40,27.01
50,29.92
10,26.24
20,34.45
30,36.66
50,32.39
40,34.42
10,27.58
20,31.02
30,35.85
40,35.33
50,28.99
10,26.06
20,33.15
40,33.61
30,32.04
50,34.77
10,28.78
20,38.03
40,28.04
50,31.45
30,31.65
10,34.69
20,25.23
30,31.06
40,39.07
50,41.08
10,19.85
20,28.59
40,28.62
30,43.30
50,28.33
10,27.91
20,30.27
30,36.07
40,27.88
50,24.88
10,33.22
20,29.02
30,34.64
40,29.41
50,31.36
10,36.59
20,25.20
30,25.29
40,32.37
10,25.42
50,29.34
20,30.31
30,33.03
40,30.32
50,29.43
20,36.35
10,30.37
30,31.43
40,34.41
50,34.01
10,29.67
20,30.60
30,37.53
40,24.85
50,32.19
10,34.84
20,33.47
30,37.12
40,36.72
50,34.47
20,28.47
10,28.70
30,38.10
40,39.29
50,27.91
10,26.66
20,26.19
30,28.68
40,43.32
50,32.26
10,31.89
20,23.45
30,28.72
40,30.11
50,37.63
10,37.59
20,37.18
30,43.72
50,31.61
40,34.88
10,19.68
20,33.59
30,30.21
40,27.95
50,33.08
10,32.56
20,26.69
30,26.80
40,29.33
50,27.56
10,31.55
20,36.62
30,37.61
40,28.90
50,30.61
10,33.89
20,28.49
30,30.05
40,35.94
50,40.60
10,29.36
20,31.58
30,35.32
40,30.41
50,36.22
10,34.42
20,36.61
30,31.52
40,31.49
50,31.43
10,32.55
20,30.69
30,31.09
40,26.48
50,32.93
10,33.21
