N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
10,1.3,34.0 (5.4),36.2 (4.4),38.6 (3.9),39.4 (3.2),39.7 (3.2)
20,1.3,40.4 (5.9),44.8 (5.6),48.1 (3.9),49.7 (3.4),51.1 (2.9)
30,1.3,40.7 (5.6),45.6 (5.4),48.7 (3.7),50.7 (3.3),51.9 (2.8)
40,1.3,40.2 (5.4),45.4 (5.1),48.6 (3.7),50.8 (3.2),52.0 (2.7)
50,1.3,40.2 (5.5),45.5 (5.1),48.8 (3.6),51.1 (3.2),52.3 (2.7)
10,1.4,33.8 (5.4),35.9 (4.3),38.2 (3.9),39.0 (3.2),39.3 (3.2)
20,1.4,40.1 (5.9),44.3 (5.6),47.5 (3.9),49.1 (3.5),50.5 (3.0)
30,1.4,40.5 (5.6),45.1 (5.4),48.2 (3.8),50.1 (3.4),51.4 (2.9)
40,1.4,40.1 (5.5),45.0 (5.2),48.2 (3.7),50.2 (3.3),51.4 (2.9)
50,1.4,40.1 (5.5),45.1 (5.2),48.4 (3.7),50.5 (3.3),51.7 (2.8)
10,1.5,33.5 (5.3),35.5 (4.3),37.8 (3.9),38.6 (3.2),38.8 (3.1)
20,1.5,39.8 (5.9),43.8 (5.6),46.9 (4.0),48.5 (3.6),49.9 (3.1)
30,1.5,40.3 (5.6),44.6 (5.4),47.6 (3.8),49.5 (3.5),50.7 (3.1)
40,1.5,40.0 (5.5),44.5 (5.2),47.6 (3.8),49.6 (3.4),50.8 (3.0)
50,1.5,40.0 (5.5),44.7 (5.2),47.9 (3.7),49.9 (3.4),51.1 (2.9)
10,1.6,33.2 (5.2),35.1 (4.2),37.3 (4.0),38.1 (3.2),38.3 (3.1)
20,1.6,39.4 (5.9),43.2 (5.6),46.3 (4.0),47.8 (3.7),49.2 (3.2)
30,1.6,40.0 (5.6),44.0 (5.5),47.0 (3.9),48.8 (3.7),50.1 (3.2)
40,1.6,39.8 (5.5),44.0 (5.2),47.1 (3.8),48.9 (3.5),50.1 (3.1)
50,1.6,39.8 (5.5),44.2 (5.3),47.3 (3.7),49.2 (3.5),50.4 (3.1)
10,1.7,32.9 (5.1),34.8 (4.1),36.8 (4.0),37.6 (3.2),37.9 (3.1)
20,1.7,39.1 (5.9),42.6 (5.5),45.6 (4.1),47.1 (3.8),48.5 (3.3)
30,1.7,39.7 (5.6),43.4 (5.4),46.4 (3.9),48.1 (3.8),49.3 (3.3)
40,1.7,39.5 (5.5),43.5 (5.3),46.4 (3.9),48.2 (3.6),49.4 (3.2)
50,1.7,39.5 (5.5),43.6 (5.3),46.6 (3.8),48.5 (3.7),49.7 (3.2)
10,1.8,32.5 (5.0),34.4 (4.1),36.4 (4.1),37.2 (3.2),37.4 (3.0)
20,1.8,38.7 (5.8),42.0 (5.5),44.9 (4.2),46.4 (3.9),47.7 (3.4)
30,1.8,39.4 (5.6),42.8 (5.4),45.7 (4.0),47.3 (3.9),48.6 (3.4)
40,1.8,39.2 (5.5),42.9 (5.3),45.8 (3.9),47.4 (3.8),48.6 (3.3)
50,1.8,39.2 (5.5),43.1 (5.3),45.9 (3.9),47.7 (3.8),48.9 (3.3)
10,1.9,32.2 (4.9),34.0 (4.0),35.9 (4.1),36.7 (3.2),36.9 (3.0)
20,1.9,38.3 (5.8),41.3 (5.4),44.1 (4.3),45.6 (3.9),46.9 (3.4)
30,1.9,38.9 (5.6),42.1 (5.4),44.9 (4.1),46.5 (3.9),47.7 (3.5)
40,1.9,38.8 (5.5),42.2 (5.3),45.0 (4.0),46.6 (3.9),47.7 (3.4)
50,1.9,38.9 (5.5),42.4 (5.3),45.2 (4.0),46.8 (3.9),48.0 (3.4)
10,2,31.8 (4.8),33.7 (4.0),35.4 (4.1),36.2 (3.3),36.4 (3.0)
20,2,37.8 (5.7),40.7 (5.4),43.3 (4.4),44.8 (4.0),46.0 (3.5)
30,2,38.5 (5.6),41.4 (5.3),44.1 (4.2),45.6 (4.0),46.8 (3.6)
40,2,38.4 (5.5),41.6 (5.2),44.2 (4.1),45.7 (4.0),46.8 (3.5)
50,2,38.5 (5.5),41.8 (5.2),44.4 (4.1),45.9 (4.0),47.1 (3.5)
10,2.1,31.5 (4.7),33.4 (3.9),34.9 (4.1),35.7 (3.3),35.9 (2.9)
20,2.1,37.3 (5.7),40.0 (5.3),42.5 (4.5),43.9 (4.1),45.0 (3.6)
30,2.1,38.0 (5.5),40.7 (5.3),43.2 (4.3),44.7 (4.1),45.8 (3.7)
