N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
40,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
50,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
10,4.8,22.4 (2.2),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (0.9)
20,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
30,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
40,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
50,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
10,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
20,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
30,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
40,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
50,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
10,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.5)
20,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
30,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
40,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
50,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
