Date/Time, 2021-01-27_05:30
10,40.77
20,26.58
30,32.65
50,32.19
10,31.76
40,33.50
20,33.60
40,27.82
30,32.10
50,35.06
10,30.83
20,30.76
30,36.43
40,32.32
50,32.53
10,28.19
20,29.52
30,33.77
40,36.18
50,34.80
10,36.02
20,32.21
30,31.72
40,35.44
50,33.00
10,30.14
20,35.97
30,32.03
40,32.37
50,36.50
10,40.98
20,34.10
30,33.30
40,32.97
50,30.81
10,36.62
20,30.69
30,31.96
40,33.63
50,32.05
10,27.17
20,31.77
30,32.29
40,34.79
50,32.83
20,25.58
10,33.71
30,30.82
50,30.63
40,31.69
10,26.88
20,31.83
30,39.93
40,32.05
50,41.69
10,41.84
20,31.63
30,29.78
40,35.85
50,31.73
10,26.98
20,27.86
30,29.90
40,31.79
50,33.96
10,31.55
20,34.92
30,30.91
40,32.05
50,31.61
10,34.77
20,51.62
30,29.69
40,33.91
50,33.17
10,25.73
20,30.21
30,25.35
40,37.21
50,35.13
10,27.36
20,29.89
30,35.16
40,34.71
50,28.93
10,27.40
20,33.99
30,30.11
40,29.95
50,34.15
10,33.86
20,31.16
30,33.51
40,44.23
50,34.09
10,29.82
20,34.04
30,33.23
40,34.50
50,33.21
10,32.94
20,30.71
30,34.29
40,37.09
50,30.40
10,27.76
20,38.00
30,29.79
40,30.03
50,33.39
10,28.50
20,41.85
30,32.95
40,32.28
50,33.30
10,28.95
20,29.96
30,33.66
40,35.21
50,30.46
10,30.03
20,33.56
30,36.85
40,32.98
50,31.59
10,31.73
20,32.91
30,34.09
40,41.20
50,30.59
10,29.05
30,34.69
20,44.24
40,29.85
50,34.14
10,28.85
20,33.17
30,32.91
40,29.55
50,31.66
20,28.33
10,38.70
30,34.52
40,29.93
50,33.18
10,33.52
20,31.06
30,29.34
40,29.93
50,33.31
10,39.37
20,28.27
30,31.11
40,26.51
50,35.00
20,29.52
10,31.08
30,32.85
40,33.39
50,37.56
10,26.77
20,30.78
30,34.21
40,31.39
50,35.27
10,31.68
20,35.98
30,29.02
40,36.27
50,32.37
10,38.51
20,32.02
30,29.91
40,33.05
50,34.16
10,29.95
20,33.31
30,33.24
40,29.93
50,31.42
10,29.48
20,26.61
30,36.03
40,31.41
50,33.35
10,30.16
20,27.80
30,31.88
40,29.53
50,35.06
10,32.76
20,30.59
30,42.32
40,32.64
50,30.64
10,28.45
20,27.28
30,28.90
40,34.35
50,38.62
10,29.84
20,32.52
30,36.07
40,37.15
50,33.89
10,36.56
20,31.42
30,38.99
40,33.49
10,26.65
50,33.41
20,32.34
30,35.12
40,30.82
50,37.00
10,26.44
20,37.67
30,34.73
40,31.59
50,26.94
10,36.64
30,33.60
20,29.33
40,30.05
50,34.52
10,30.98
20,26.02
30,31.35
40,39.88
10,30.98
50,33.56
20,30.43
30,32.68
40,33.76
50,35.01
20,33.24
10,28.98
30,34.47
40,32.98
50,29.34
10,31.56
30,32.14
20,31.03
40,31.72
10,32.03
50,40.22
20,28.92
40,33.93
30,31.13
50,35.59
20,33.32
10,40.08
30,40.39
40,34.03
50,32.41
10,24.04
30,31.14
20,33.42
40,33.55
10,26.50
50,37.17
20,30.97
40,34.78
30,32.28
50,33.69
10,32.89
20,32.48
30,30.42
50,32.62
40,31.85
10,31.88
20,32.93
30,30.15
40,34.65
10,26.44
50,30.97
20,36.86
30,33.03
40,36.68
50,32.36
10,26.31
20,34.86
30,35.14
40,32.23
50,31.69
10,25.93
20,32.35
30,34.84
40,34.22
50,30.27
10,34.24
20,32.43
30,31.12
40,38.34
50,35.28
10,29.49
20,32.11
30,34.28
40,30.59
50,31.12
10,32.65
20,27.08
30,31.92
40,40.84
50,31.72
10,29.28
20,29.91
30,34.50
40,29.35
50,32.25
10,30.22
20,33.34
30,34.90
40,33.58
50,33.46
10,34.14
20,31.45
30,34.23
40,29.36
50,38.47
10,32.31
20,30.50
30,29.92
40,31.75
50,35.02
10,38.22
20,32.37
30,33.91
40,29.01
50,30.71
10,31.77
20,30.82
30,28.95
40,34.07
50,33.82
10,32.61
20,32.94
30,31.23
40,34.28
50,29.97
10,34.82
20,29.04
30,35.45
40,33.55
50,31.52
10,36.77
20,29.16
30,28.10
40,30.36
10,31.42
50,32.74
20,32.51
30,32.37
40,32.03
50,33.20
20,36.20
10,46.58
30,31.43
50,30.83
40,36.76
10,32.55
20,26.87
30,30.33
40,32.82
50,31.90
10,28.64
20,33.82
30,30.62
40,35.51
50,32.53
10,28.50
20,28.20
30,37.19
40,32.13
50,31.39
10,32.78
20,31.57
30,33.62
40,32.42
50,31.86
10,31.24
