Date/Time, 2021-01-26_14:07
20,23.31
30,27.54
10,35.61
40,27.46
50,26.65
10,26.14
30,26.70
40,23.92
20,28.39
50,29.28
20,26.05
10,23.86
50,26.81
30,26.44
40,27.32
10,24.22
20,24.58
30,27.64
40,24.50
50,27.06
10,28.18
20,27.15
40,30.68
30,25.91
10,24.42
50,26.14
20,29.28
30,27.92
50,24.55
40,27.18
20,29.25
10,38.27
30,26.80
10,32.33
40,26.75
50,24.78
30,27.65
20,27.32
40,28.22
50,27.14
10,24.32
20,24.77
40,28.67
30,27.06
50,26.08
10,27.99
20,21.59
30,26.18
50,25.73
40,26.04
10,23.56
20,25.82
30,29.68
40,24.76
50,34.28
10,31.49
20,26.21
30,24.78
40,27.59
50,25.95
10,23.62
20,23.82
30,23.66
40,26.81
50,28.07
10,23.48
20,25.38
30,26.31
40,26.87
10,29.93
50,25.42
20,39.43
40,28.66
30,24.71
50,27.38
10,21.92
20,24.47
30,20.69
50,24.92
40,27.20
10,24.45
20,24.05
30,28.84
40,28.37
10,24.95
50,24.65
20,28.48
30,25.27
40,23.27
50,28.07
10,25.24
20,26.22
30,26.96
40,38.73
50,25.23
10,24.98
30,28.58
20,27.00
40,26.68
10,28.39
50,26.25
20,27.59
40,27.13
30,29.96
50,26.69
10,23.95
20,31.93
30,24.83
40,25.25
50,25.87
10,24.19
20,29.75
30,25.78
40,26.15
50,28.00
10,26.49
20,26.05
30,27.98
40,27.77
50,25.23
10,26.16
20,29.32
30,31.23
40,27.34
50,26.51
10,27.37
20,27.52
30,26.91
40,29.83
50,26.80
10,25.28
20,30.60
30,30.16
40,25.20
50,28.74
10,25.26
20,26.32
30,26.90
40,25.19
50,26.16
10,35.67
20,24.68
30,28.71
40,24.45
50,28.09
10,28.38
20,25.20
30,25.01
40,25.12
50,27.04
10,28.53
20,24.41
30,26.32
40,23.00
50,26.24
10,27.51
20,23.53
30,27.65
40,24.01
50,28.87
10,24.03
20,24.76
30,28.41
40,22.92
50,27.65
10,27.03
20,31.08
30,24.18
40,28.70
50,26.81
10,28.68
20,27.99
30,25.98
40,25.16
50,28.49
10,27.56
20,28.81
30,27.01
40,24.14
50,24.11
10,23.96
20,23.41
30,26.88
40,27.36
50,28.12
10,26.06
20,24.11
30,24.39
40,24.92
10,26.52
50,29.51
20,25.60
40,23.34
30,29.31
50,26.02
10,24.20
20,23.46
30,24.61
50,26.71
40,29.74
10,23.93
20,27.41
30,27.83
40,26.02
50,27.70
10,32.72
20,27.68
30,32.67
40,26.10
50,26.37
10,23.58
20,27.93
30,28.87
40,25.34
50,29.99
10,20.43
20,31.46
30,27.99
40,26.61
50,23.21
10,31.90
20,25.53
30,28.28
40,24.90
50,28.89
10,26.70
20,23.04
30,25.57
