Date/Time, 2021-01-25_20:30
30,70.98
10,62.73
20,62.84
40,70.23
50,70.26
10,59.13
20,64.63
30,72.67
40,74.03
50,68.45
10,65.30
20,61.50
30,67.91
40,70.24
50,65.43
10,67.30
20,64.34
30,66.82
40,71.82
50,70.22
10,59.92
20,59.77
30,69.78
40,69.02
50,71.21
20,65.29
10,63.38
30,70.14
40,72.32
50,73.59
10,59.03
30,69.79
20,63.15
40,72.36
50,70.45
10,55.21
20,65.23
30,57.80
40,66.55
50,72.29
20,58.12
10,61.56
30,70.52
40,69.15
50,68.27
10,59.65
20,62.04
30,69.31
40,65.22
50,70.06
10,59.04
20,68.52
30,66.74
40,73.26
50,71.85
10,59.02
20,72.13
30,63.28
40,70.06
50,71.42
10,57.61
20,63.38
30,69.68
50,71.12
40,64.70
10,62.39
20,69.13
30,67.58
40,71.00
50,70.57
10,54.76
20,65.18
30,67.84
40,69.33
50,72.63
20,68.58
10,61.15
30,68.94
40,72.91
50,71.64
10,62.62
20,59.30
30,64.91
40,70.40
50,73.93
10,61.76
20,65.19
40,66.72
30,72.03
50,71.61
10,63.31
20,66.25
30,66.81
40,66.51
50,72.11
10,61.20
20,69.66
30,69.71
40,70.73
50,72.44
10,62.73
20,63.77
30,62.94
40,66.37
50,66.69
10,52.76
20,67.54
30,65.26
40,71.84
50,71.15
10,60.42
20,69.78
30,65.78
40,71.77
50,67.94
10,60.98
20,56.91
30,69.30
40,65.57
50,70.30
10,63.59
30,67.75
20,63.95
40,66.83
50,69.77
10,57.30
20,62.61
30,68.52
40,69.60
50,64.25
10,49.55
20,62.72
30,66.93
40,69.71
50,67.97
10,64.72
20,67.57
30,70.53
40,70.67
50,69.86
10,65.12
20,66.12
30,67.71
40,64.30
50,67.98
10,51.80
20,65.26
30,68.39
40,70.84
50,65.18
10,59.32
20,68.24
30,68.88
40,69.42
50,71.38
10,58.35
20,67.80
30,69.51
40,68.36
50,72.27
10,63.53
20,63.95
30,66.09
40,73.08
50,73.87
10,61.63
20,67.33
30,68.73
40,68.55
50,71.78
10,63.98
20,66.94
30,65.21
40,71.80
50,66.44
10,58.89
20,63.70
30,70.82
40,65.24
50,70.05
10,62.05
20,71.16
30,70.91
40,72.53
50,68.86
10,59.30
20,70.04
30,68.53
40,69.03
50,68.36
10,56.77
20,66.33
30,70.35
40,69.99
50,72.64
10,65.05
20,67.35
30,66.36
40,68.68
50,70.56
10,64.21
20,69.36
30,69.41
40,68.74
50,70.93
10,66.42
20,61.48
30,65.11
40,67.70
50,67.14
10,66.76
20,60.46
30,66.67
40,67.17
50,69.74
10,63.97
20,67.11
40,73.58
30,65.18
50,71.15
10,68.04
20,70.15
30,68.73
40,68.87
50,69.93
10,62.90
20,60.07
30,68.34
40,68.95
50,69.46
10,61.77
20,62.17
40,67.59
30,69.73
50,70.40
20,67.29
10,63.34
30,66.63
40,69.12
50,74.17
20,61.23
10,51.47
30,69.83
40,70.94
50,69.92
10,50.83
30,71.47
40,72.10
20,59.55
50,73.23
20,70.38
10,60.45
40,70.56
30,70.33
50,66.14
10,54.38
30,69.96
20,64.02
40,67.78
10,60.57
50,68.98
20,63.43
30,71.40
40,69.49
50,72.55
10,60.78
20,66.16
30,67.33
40,66.07
50,74.38
10,66.46
20,68.12
30,69.44
40,70.68
50,71.01
10,58.46
20,60.69
30,70.00
40,66.90
50,69.98
10,58.52
20,61.52
30,66.44
40,69.83
50,70.48
10,52.04
20,65.55
30,69.78
40,67.98
50,68.11
10,62.88
20,68.03
30,67.62
40,69.06
50,67.86
10,64.85
20,64.70
30,66.42
40,73.26
50,71.16
10,61.50
20,62.59
30,69.48
40,64.49
50,71.79
10,68.55
20,61.87
30,70.57
40,70.19
50,69.84
10,61.59
20,60.31
30,68.17
40,67.05
50,71.53
10,56.67
20,56.83
30,72.89
40,69.73
50,65.08
10,68.03
20,54.44
30,66.88
40,67.87
50,73.76
10,61.35
20,68.81
30,67.31
40,72.94
50,69.83
10,63.77
20,61.66
30,69.75
40,72.40
50,69.02
10,63.70
20,68.91
30,72.87
40,71.07
50,70.00
10,64.39
20,65.68
40,68.20
30,64.52
50,69.44
10,55.67
20,72.47
30,73.27
40,71.96
50,72.89
10,66.74
20,59.06
30,66.59
40,68.87
50,72.41
10,65.87
20,71.25
30,73.26
40,68.70
50,65.69
10,56.76
20,56.31
30,69.46
40,71.29
50,71.71
10,63.59
20,64.92
30,65.13
40,66.65
50,73.44
10,63.85
20,69.34
30,69.75
40,68.39
50,72.21
10,53.38
20,72.10
30,71.37
40,67.44
50,74.12
10,55.93
30,69.07
20,64.86
40,68.51
50,72.25
10,57.54
20,67.35
30,71.84
40,67.09
50,71.10
10,49.91
20,67.18
30,70.21
40,73.46
50,69.40
10,57.80
20,59.39
30,70.08
40,65.23
50,76.03
10,55.52
20,68.76
30,68.64
40,67.66
50,72.14
10,55.23
20,65.27
30,64.77
40,69.84
50,68.64
10,59.46
20,61.08
30,71.32
40,68.13
50,73.47
10,55.52
20,69.80
30,71.64
40,65.58
50,69.33
10,55.70
20,69.89
30,64.35
40,67.86
50,73.89
10,58.95
20,64.04
30,70.76
40,66.06
50,71.38
10,50.47
20,68.92
30,70.94
40,70.99
50,71.04
10,64.30
20,68.36
30,69.38
40,69.35
50,74.98
10,61.38
20,67.09
30,70.41
40,74.33
10,62.71
50,67.58
20,68.63
30,68.48
40,73.22
50,72.51
20,61.10
10,57.03
30,67.19
40,66.90
50,74.01
10,57.65
20,62.25
30,71.06
40,68.62
10,54.79
50,74.49
20,68.32
30,66.62
50,67.30
40,72.34
10,62.61
20,66.52
30,68.76
40,74.04
50,65.40
10,67.28
20,63.73
30,67.69
40,70.75
50,68.35
20,68.50
10,60.96
30,71.38
40,68.57
50,71.71
10,47.32
20,63.97
30,70.38
40,70.60
10,64.53
50,74.55
20,66.14
30,65.95
40,72.83
50,70.72
10,62.09
20,70.23
30,61.19
50,72.90
40,70.16
10,58.46
20,54.47
30,64.11
40,70.16
50,73.97
