N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
40,0.4,54.9 (4.5),62.2 (4.0),67.3 (3.1),69.0 (2.7),70.9 (2.3)
50,0.4,54.0 (4.4),61.2 (3.8),66.3 (2.9),68.2 (2.6),70.0 (2.3)
10,0.5,61.6 (5.2),65.5 (4.1),68.4 (2.6),69.4 (2.2),69.6 (2.2)
20,0.5,60.1 (4.8),65.5 (4.5),69.3 (3.0),70.6 (2.8),71.5 (2.3)
30,0.5,58.3 (4.8),64.7 (4.3),69.0 (2.8),70.5 (2.6),72.0 (2.2)
40,0.5,56.3 (4.5),63.3 (4.0),68.1 (3.0),69.6 (2.6),71.4 (2.2)
50,0.5,55.6 (4.4),62.5 (3.8),67.3 (2.8),69.0 (2.6),70.7 (2.2)
10,0.6,61.5 (5.2),65.4 (4.0),68.3 (2.7),69.1 (2.3),69.4 (2.3)
20,0.6,60.5 (4.8),65.7 (4.5),69.4 (2.9),70.7 (2.7),71.5 (2.3)
30,0.6,59.0 (4.7),65.2 (4.2),69.3 (2.8),70.8 (2.6), 72.1 (2.2)
40,0.6,57.5 (4.5),64.1 (4.0),68.6 (2.9),70.1 (2.5),71.8 (2.2)
50,0.6,56.9 (4.4),63.4 (3.8),68.0 (2.8),69.5 (2.5),71.2 (2.2)
10,0.7,61.3 (5.2),65.2 (4.0),68.1 (2.7),68.8 (2.3),69.1 (2.4)
20,0.7,60.7 (4.8), 65.8 (4.4),69.4 (2.8),70.6 (2.6),71.4 (2.3)
30,0.7,59.6 (4.7),65.5 (4.2),69.4 (2.7), 70.9 (2.5),72.1 (2.2)
40,0.7,58.3 (4.6),64.7 (4.0),69.0 (2.8),70.3 (2.5),71.9 (2.2)
50,0.7,57.8 (4.5),64.1 (3.8),68.5 (2.7),69.9 (2.5),71.5 (2.2)
10,0.8,61.1 (5.2),65.0 (4.0),67.8 (2.7),68.5 (2.4),68.8 (2.5)
20,0.8,60.8 (4.8),65.8 (4.4),69.3 (2.8),70.5 (2.6),71.2 (2.3)
30,0.8,59.9 (4.7),65.6 (4.2), 69.5 (2.7),70.8 (2.5),72.0 (2.3)
40,0.8,58.9 (4.6),65.0 (3.9),69.2 (2.7),70.5 (2.5),72.0 (2.3)
50,0.8,58.5 (4.5),64.6 (3.8),68.8 (2.7),70.1 (2.5),71.7 (2.2)
10,0.9,60.8 (5.2),64.7 (4.0),67.5 (2.8),68.0 (2.4),68.5 (2.6)
20,0.9,60.8 (4.8),65.6 (4.3),69.2 (2.7),70.3 (2.5),71.0 (2.4)
30,0.9,60.1 (4.6),65.7 (4.1),69.4 (2.6),70.7 (2.4),71.8 (2.3)
40,0.9,59.4 (4.6),65.2 (3.9),69.3 (2.6),70.5 (2.5),71.9 (2.3)
50,0.9,59.0 (4.5),64.9 (3.8),69.0 (2.6),70.2 (2.4),71.7 (2.2)
10,1,60.4 (5.2),64.2 (4.0),67.1 (2.8),67.5 (2.5),68.1 (2.7)
20,1,60.7 (4.8),65.4 (4.3),68.9 (2.7),70.0 (2.5),70.7 (2.4)
30,1,60.3 (4.6),65.6 (4.1),69.3 (2.6),70.4 (2.4),71.5 (2.4)
40,1,59.6 (4.6),65.3 (3.9),69.2 (2.6),70.3 (2.5),71.7 (2.4)
50,1,59.4 (4.5),65.0 (3.8),69.0 (2.6),70.1 (2.4),71.5 (2.3)
10,1.1,60.0 (5.2),63.7 (3.9),66.6 (2.9),66.9 (2.6),67.5 (2.9)
20,1.1,60.5 (4.7),65.1 (4.2),68.5 (2.7),69.5 (2.4),70.3 (2.5)
30,1.1,60.3 (4.6),65.4 (4.0),68.9 (2.6),70.0 (2.4),71.1 (2.4)
40,1.1,59.8 (4.6),65.2 (3.9),69.0 (2.6),70.0 (2.5),71.3 (2.4)
50,1.1,59.6 (4.5),65.0 (3.8),68.8 (2.6),69.8 (2.4),71.2 (2.3)
10,1.2,59.5 (5.2),63.0 (3.9),65.9 (3.0),66.2 (2.7),66.9 (3.0)
20,1.2,60.3 (4.7),64.7 (4.2),68.1 (2.8),69.0 (2.4),69.8 (2.5)
30,1.2,60.2 (4.6),65.1 (4.0),68.5 (2.6),69.5 (2.4),70.6 (2.5)
40,1.2,59.8 (4.5),65.0 (3.9),68.6 (2.6),69.5 (2.5),70.8 (2.4)
50,1.2,59.7 (4.5),64.8 (3.8),68.5 (2.6),69.4 (2.5),70.8 (2.4)
10,1.3,58.9 (5.1),62.2 (3.9),65.0 (3.1),65.3 (2.8),66.0 (3.1)
20,1.3,60.0 (4.8),64.2 (4.1),67.4 (2.9),68.2 (2.4),69.2 (2.6)
30,1.3,60.0 (4.6),64.6 (4.0),67.9 (2.8),68.7 (2.4),70.0 (2.5)
40,1.3,59.8 (4.5),64.5 (3.9),68.0 (2.7),68.8 (2.5),70.2 (2.5)
50,1.3,59.6 (4.5),64.4 (3.8),68.0 (2.7),68.8 (2.5),70.2 (2.4)
10,1.4,58.3 (5.1),61.2 (3.9),64.0 (3.2),64.3 (2.8),65.1 (3.1)
20,1.4,59.6 (4.7),63.5 (4.0),66.6 (3.0),67.3 (2.4),68.3 (2.6)
30,1.4,59.7 (4.6),63.9 (3.9),67.1 (2.9),67.9 (2.4),69.1 (2.6)
